GPNMB BAP1
BNIPL SSTR1
NUDT14 KRTAP20-1
NBEAL2 TET2
NFE2 SUPT3H
KRT72 XAB2
FTH1 RARRES3
NAMPT NRP1
POU6F2 PDE6C
OR2V1 HIC1
DPP7 NDUFB11
EPS15 TACSTD2
GAB1 NANOG
OTUD3 TYSND1
TAS2R7 ACOT12
GIPR SST
KRTAP5-8 PRDM5
CDH8 FAT1
STXBP5 OTC
NLRP4 PTPRD
TIRAP SIRT2
HMGB3 LMO1
NANOS2 ROR1
TAAR6 C5
FARSA CHST6
TARDBP PAX1
WDR4 TMEM2
POLR2D CCR3
FAF1 EIF6
FAP CRHR2
HOXC10 SLCO3A1
SESN1 SSTR1
HYOU1 OR5A2
LTA OAS3
LACTB2 HLA-C
ADAMTS9 UBA3
FGFR3 IGF1
HSF2 IRF1
TPST1 CHST2
IGF2 NFE2
HP RNASE6
PDCL ANKRD28
NMI FARS2
DPF1 TNFSF10
DEAF1 SKIL
EXTL3 ABCB8
SPRY2 FGF4
GAGE1 EIF2B1
EHF CD70
OR5AR1 NRF1
NCOA6 RFK
ABCC3 SLC7A6
NFE2L1 FEV
GPR155 GDPGP1
PRDM5 MIR518A1
CMPK2 KDM1B
KRT32 SCEL
UBE2I CLTB
PKLR AMACR
ADORA2B IL4
ACHE UBE2V2
ASB1 IGKV2-29
RNF168 PLAT
FEV SNAPC2
CDKN2B IFNL1
ORM1 RELA
MEN1 ZNF177
BCAS2 TMEM14A
NUP62 ANXA1
MAL SH3GL1
KLRA1P CLEC2D
LRCH4 PRPS1
FBXO27 FBXO31
VTI1B AP4M1
OR10J1 GPR12
SOX18 TFCP2
SLC22A11 WBP2
TNFSF8 CDC27
SPIDR LILRB3
PTBP1 COPZ1
NUS1 RNF182
ALDH3B2 RBP3
GPR45 CXCR4
MAPT CYP19A1
H1F0 PRKAA2
AFF4 ECT2
UGT2B11 RASGRF2
GABRE CCNO
IFNA17 UBXN4
CEBPB ZAP70
POU5F1 HMGA2
MPP5 STRAP
APOC3 AKR1B1
ATOH7 LIPK
SPI1 TGIF1
ENSA AR
PCDH12 CLN5
SERTAD1 TNFRSF11A
KDELR1 CCL3
TMOD2 NEURL1
DES GLRA1
RREB1 TAF9
APPBP2 ZDHHC1
QPRT SLC1A3
WFIKKN1 TEF
RAPGEF3 CD160
GSTP1 PTS
ABCD3 FGR
SCAMP3 ISOC2
BACE2 LIPT1
ERCC8 RORB
TUBE1 MIR21
CDC40 GJA1
GJC1 PABPN1
MYO7A UNC119
ARHGDIA VCL
PTGER1 PTGER3
TNFSF9 GPR50
TENM1 TNFRSF4
OR8D2 CCDC39
TIMMDC1 FCGR1B
FUT9 SLC5A2
PCSK2 GABPB1
GCNT4 ETV1
IFNL4 AGXT
GJB1 TRHDE
ENAH TUBB4A
ADRA1D FFAR1
POU2AF1 CLCN6
ABCB7 ABCC3
MIR214 NR3C1
TAAR9 S1PR3
GPX4 PLA2G5
GHRH SEMA5A
RPTN TRMT61B
PARVG SGCE
ZAK SRPK2
ARHGDIA FRRS1L
MOGAT1 GPR26
MYCN SREBF2
KHDRBS1 RPS4X
KCNE1 SLC2A12
ANO5 MIR92A1
CRX HRAS
NFATC2 OR10J5
COMP SPP2
SCUBE3 SIVA1
PPP1R16B UGT1A1
SPP2 TCOF1
MID1 WFIKKN2
SPHAR DIS3
IFNA4 DCBLD2
ANAPC5 SMURF2
GPR1 FFAR1
GNAO1 RRAS2
GATAD1 CYP3A4
HCP5 LTC4S
EVL PLA2G1B
DEAF1 PITX1
LIMA1 GABRA2
NAMPT KRTAP4-6
GMDS PAIP1
PAWR CDC7
NFE2L3 PDCD6IP
RPL3L RPL7A
RXFP2 RPGRIP1L
SPAG11B KHDRBS3
HMG20B DEFA6
HIST1H2BE JSRP1
TGFB2 BLZF1
KIF20A ACTR1A
OCLN NDUFS3
PGC PYY
MME TFAP2C
CNIH1 DEFA1
CORIN ALDH3B2
CTBP1 QSOX1
ACAA1 PPP1R2
CHST4 AR
SLC12A7 FASTKD5
KRTAP13-1 NSMCE3
ISG20 NPY
TRA2A MMD2
ALOX15B RPS3A
TSTD1 SLC2A3
AGTR2 RIPK1
TRIM35 ARHGAP9
CTTNBP2NL OR5P3
CCL26 CCL17
FASTK CD38
SYN1 VIPR1
DHRSX CDC26
TRAM1 PPIL2
NFAT5 SNAPC3
DBP BLZF1
ITGAV ROBO1
MIR125B2 DIS3L2
GHSR GPR6
CDX2 NMI
AVPR1A APOM
SIX1 HYAL4
POLE4 RYBP
CMKLR1 CCL16
AEBP2 KRT25
HOXC5 SMARCAL1
BPNT1 FGF13
HDAC5 CXCL11
CDC73 LYPLA2
MYO7A MIR199A2
RAB3GAP1 SPTBN2
IGSF6 KLRB1
RBSN DLC1
CD160 ANXA1
PSG11 GPR27
IGKV1D-33 POLR3A
NLGN3 VWF
IL15 TSHB
CLCNKA AMZ2
CDCA5 KAT8
STX2 SLC38A9
NUDT21 SRSF11
TRPS1 TRIM24
OR2T34 GFRA3
CXCR6 CCL4
CHD1 MED23
DNAH9 SPAG9
GNA13 CCL3
TRHDE ADAM17
TNFRSF4 CD7
ADCYAP1 CD33
ADAP1 TDGF1
GLI3 MNT
DAZ2 ENAM
NA OR13D1
SLC5A11 NKX6-1
GRAP TNFSF8
SELPLG CD9
CDH12 NOTCH2
NFATC2 RBAK
ANXA1 MPL
AIF1 CXCL8
BORCS5 ANG
DIS3L PPP1R15A
NEB GPLD1
OR11H4 HS3ST5
IL1A APOL3
MAEA BNIP1
TARBP2 TFAP2A
PRKD1 ALOX5AP
TRAT1 DCDC2
MXRA5 ECI1
DEFA1 PDPK1
PALM CAPZA1
ZDHHC17 RPL17
OR2D3 ANKLE2
IL15RA TNFRSF17
FOSB TFAP4
IL15 IL27RA
RAD23A MMS19
THAP12 EPRS
KLF10 NANOG
PPP2R1A SRPK1
TMPRSS2 SPIN1
IL4R IKBKG
PPP4R2 KMT2C
NFKBIB SYNE1
SYNCRIP DHX8
SLC44A1 MRPS18C
ADAL MYL2
STC2 CD33
PYHIN1 ERAP2
HLA-DRB3 CD22
ADAP1 MAGI1
CHRM2 CNTN4
HID1 TAB1
IFITM2 ZAP70
PSG5 PLA2G16
PCID2 PCDH11X
DNAJC19 TRAF3IP2
DUSP12 GGT5
RTP1 NR3C2
USP28 GFRA2
ARIH2 RANBP1
CHRM5 TNFSF9
KCNJ14 IGFBP6
NRDC WNT1
CDK5 SSR2
DLX5 CHRD
CCL4 WASF1
FRRS1L GCSH
TAGLN3 BTD
ETS1 IL15
DNAJB2 CCT3
MIER2 HSP90AB1
NAXE G6PC
IER3IP1 HLA-DOA
PILRB ALPI
CSF3 ELF3
ADORA1 AOC3
VPS45 FLRT2
SPIN1 MYBPH
CHST4 GRB10
ATF7 PTPRC
C4orf26 IRF1
IL17RE TSTA3
POFUT2 ZFYVE1
POLA1 NANOG
MASP2 KLRA1P
CSE1L ZEB1
IL1B FURIN
GNE TYRO3
ETF1 AHRR
MEFV C3AR1
ITGA3 SGCE
HRAS FOXN1
OR11G2 MICA
PPP1CC TREX1
THADA CERS1
SLC25A13 ABCA3
GNAI1 PRKCI
DSCAM PCDHA8
HRH1 CXCL8
MNT CCNK
CST6 RPL10A
IER3IP1 NMU
KRTAP6-1 FOXM1
ALKBH3 OR51L1
PTEN CDK10
GRIN3A FEV
NAMPT INSL4
AVEN PAPOLA
HPGD KLF10
AKR1B1 ZNF420
IK WAS
EGFR BAG1
RAB10 OLR1
ZHX2 GATAD2A
EXOSC9 MRPS31
DLST XYLB
MAP4K5 THAP12
AKR1C1 NOX5
CNIH1 CD22
EVC LECT2
MTX2 ITGA4
MYH10 CACUL1
NUTF2 LTA
CLTA PLAGL1
TENM1 ADGRB1
KCNN3 NRGN
GPC3 HTT
CSPG5 VPS53
CHRM4 SIPA1
AR PCSK6
SPRY2 ADAM17
MEN1 RBAK
HPR IPMK
KCNN3 L1CAM
FGF21 CCL4
PTGDR2 GTPBP1
FGF9 GDF5
HUS1 HEPACAM2
LAMC1 VAPA
MAB21L2 PPT1
FDFT1 TRIM3
OR10G2 CXCR1
SEMA4F CALCA
ATP11A ELAVL1
DLX5 ARSE
VPREB1 ZNF420
OR52D1 SEPSECS
SMC4 PSEN2
CASC5 ZNF385A
JOSD2 OR13C9
SH2B3 ELF3
OR10Q1 OPRPN
TRH SEMA5A
DMTN MTHFD2
MARCH8 COMMD9
EIF2B2 PROCR
AVP SSTR2
GPR176 CALM3
STOM EML2
ELF2 TFCP2L1
DNASE1L1 SLC15A4
F2R MUSK
DCX HLA-G
CRH UNC119
TDGF1 C5
CNTN6 MBP
SGK2 OPN1SW
PGLYRP2 CENPC
KIF5B NLRP7
EVPL KRT16
TIMM44 SOST
PLK3 MCTS1
GP1BB HSPA6
POU6F2 ABT1
TMEM30B POM121C
KCNIP3 HNF4A
USP21 TBC1D16
SIRPG SSTR1
ADRA2C S1PR1
GJA8 CST4
ADCYAP1 GDF15
EIF2AK2 SSTR2
ULK3 IPO8
NEUROG3 UGT8
EMILIN1 TINAG
ABCB7 SLC7A4
FUT8 TIMM8A
S100B CTCFL
GPM6B ERCC6L2
CARHSP1 GMIP
CBX7 MET
CRYAB GJA1
FGF2 FGF4
DDX39A CCL5
CCDC93 G6PC
KIF20A CHMP1A
PCDHB6 BSN
CHRNA10 TRMT61A
TCF25 MEN1
CLCN4 NDUFB4
LDOC1 QSOX1
NTAN1 EGFR
SLC35G1 RNF169
ATG16L1 CPSF1
ARVCF RARG
IGFBP6 BTG1
SOX8 UGT8
F5 GNAQ
CHKA TTPA
RACK1 ASS1
TREX1 CYP19A1
KIR2DS5 IL15RA
HDAC5 CDC25B
MAT2B PIGN
PLCB4 HUS1
CKMT2 ITGB5
C21orf59 COPZ1
PYY TPM4
CHD1 URI1
IGFBP4 TUBB8
PRG4 NDP
KIF20A NECAP1
MAGEA10-MAGEA5 NOA1
IL10RB KIR2DL3
TFDP3 CHRM3
KCNK16 GRK7
VDAC2 CDK8
EP300 EPHB2
KRTAP22-1 PARP3
HRAS PAX1
PFDN5 TMF1
ADAM30 ZFAND6
CSF3R PEX7
NME2P1 PPA1
GAS6 USP8
RPGR RPE65
BMP6 IFI30
SDCCAG3 FGF13
CEBPB PLA2G2E
C5AR1 CD7
NFE2 SMARCD2
HOXC5 POU4F1
DTYMK S100B
GPR42 AVPR1B
HEXB PLA2G5
GATA4 MMP11
TTK BCAR3
KLF10 WISP2
CRABP2 PITX2
ADAMTS9 C9orf3
EZH2 ING2
PLA2G2E KDM1B
CEACAM3 ATP1A4
CLIP1 CDX2
USP26 C1orf61
SLC26A3 KCNK5
ST6GALNAC4 GJB7
MRPL38 PPIE
OPHN1 SLIT1
KCNH4 TSC22D3
JOSD2 YY1AP1
EFNA3 NUP210
TSC22D1 CREB5
TICAM2 TMEM101
OSTM1 LIPM
KHK LAMA1
RPL13 RPS2
ABCA3 FASTK
NFATC3 ACOT12
SIPA1L3 VPS33A
KISS1 HTR7
ZFP36L2 BUB1
SLC22A17 CLNK
PCDHA4 PRPS1
HPS1 MIR96
CRYAA CPSF6
IZUMO1 CD9
GPHB5 RPL6
HOXD13 MSX2
BPNT1 SCN8A
FPGS OAS3
PPP2R1A CD40
CENPI ACSL5
TMOD2 SEMA5A
FPR2 ACKR4
PITPNA GSTA4
RAET1L TAS2R20
SPDEF HOXA10
PLA2G4E ADIPOR2
SVIL DHX30
IFI44 ISG20
POU6F2 TRIP4
HEXIM2 VHL
NFYC POU5F1
GPR176 PCDHB3
LDLR GCNT4
FNTA RNF20
LOC344967 RPIA
CYP17A1 C1QC
MTX2 GFAP
MASP2 CCR7
RAD18 DLL1
FCGR1B NRN1
CASP5 CLCNKA
CLCN1 SLC25A3
ZBTB49 RAB39A
TOB1 CGREF1
RGS14 SLC44A1
KIR2DL3 CXCR4
KCNF1 IFNA6
ABT1 RUNX3
DGKK BTN3A1
CGRRF1 GML
SH3BGR SLC7A7
GABRA4 NME3
AMY1A SLC5A2
AOAH HTN1
CITED2 TAF6L
P2RY1 RGL1
OR5M8 GPC2
IVD HOXC6
WBSCR22 VPS45
TRIT1 SCLT1
TNS2 SIRT4
CRYBA1 COPG1
KIFC3 TYR
TRHDE DNMT3L
ANXA11 CD22
SOX18 SMARCD1
FGGY POMT2
C1QTNF3 MAP2K1
FGFR1OP IL31RA
PDE8B CKMT2
SLC25A29 PARD6A
NFYC TIAL1
CDK6 TACSTD2
OR2C3 SLC25A15
CYP2A13 PDGFRA
PTK2B MST1R
TMEM123 BIRC6
CLEC12A ERMN
RCAN3 EYA4
PLPP4 EXOC4
HOXA13 CD52
OR6S1 COG5
ACOT9 NUP107
NUDT16 RAB2A
DEAF1 CREB5
TRPM5 HELQ
TCF7 CREG1
CCDC50 SGOL1
THAP12 TNFRSF8
EREG PCDH1
KCNQ5 AK6
RAF1 BUB1B
TRIM28 SKA1
IDH2 FDPS
TFCP2L1 PSG11
COL9A1 FGD1
EXO5 BCAS2
PCDHA6 VWF
ASB2 DFNB31
QTRT2 PDIA5
NF1 PTEN
SORBS1 PCDHA11
SLC30A4 MGAT4A
MDGA2 INPP5B
NDUFA12 OR52M1
SIRPA ADGRB1
C6orf120 CTTN
OR6B3 JUN
HTATIP2 POU4F1
ATG16L1 AES
GIGYF2 KIR3DL1
CIDEC SIPA1
APLP1 NAIP
EFNA2 TRHDE
CHST4 PAK4
HOOK2 RAB5A
PITX1 SCAMP5
MMP2 FURIN
LIG3 POLE2
EID1 ME2
UGT1A4 ALDH1B1
GLA PRPF40A
MMP10 ANP32B
BTG1 ESRRA
PPOX SCO2
GTF2E1 TRMT1
NOTCH2 SON
FTL SLITRK1
NEUROD2 PCDHA4
NDUFA8 FCGR2A
NXF1 KRTAP15-1
CSF3 HOXC10
FOLR3 SLC4A5
OR2T29 ASB17
EN2 LIF
PTGIR ADGRG1
GPR139 NOTCH2
EML2 GRM8
GJA1 TM9SF2
SYN2 NOP56
SLAMF1 FGF18
RAB2A ZW10
IL10RB TNFRSF14
SHANK2 COPG2
CORIN NAPSA
FES IGFBP3
SPAG11B SLC7A3
KRT18 NOTCH3
IFNGR2 MAGI1
LMO1 ITPKB
SALL4 XIRP1
GSS SERF1A
TMEM33 BSCL2
PARP15 OR10H3
FAAP20 SMOX
OTUD7A FTSJ2
TOMM22 SLCO1B1
SPOCK3 ZNRF4
ZNF420 MX1
CRX VSX1
ANXA1 CXCR2
PACSIN1 TRPV2
COMP SFTPB
F3 ATP10A
COL4A3 ING4
ARPIN MCIDAS
UNC80 ABL1
ABCA2 ABCB1
EFNA3 CCL21
MEP1A PGC
IGF2 TNFRSF17
CCL27 MBP
PACS2 UBL4B
FUS CEP126
TSPAN15 RBBP6
TRMT112 IGLV1-44
CHD1 SREBF2
JMJD6 H3F3C
PTGER3 TAAR8
HTATSF1 MED26
LILRB3 ENG
NFASC SUZ12
NPBWR2 PCDHB10
CITED2 CHD1
PPT1 TRIM32
CDK6 ACHE
CCL26 CXCR4
ARR3 TACSTD2
MCRS1 IGF1R
CXCR2 KLRC2
MYO9A ATXN7
LSM1 LYZL6
DTX1 POLR2E
PCDHB5 KCNJ12
DSPP RECQL4
CREB1 SGCD
DEFA6 IL13
IAPP KLF10
KCNH2 KCNJ1
GPBAR1 ING2
GHRH TNFSF9
CDKN2C LDOC1
PPIA SLC35D1
CCR8 MS4A2
IL13RA1 IZUMO1R
OR5H14 PROM2
TSC22D3 TRAPPC2
POU6F2 PCP4
INHA MIF
DNASE1L2 ERCC1
ELF3 DLK1
KCNE5 KCNG2
ARHGDIA BNIP2
RASSF1 INHA
TNIP1 RPL18A
ARHGDIB MNT
DPP3 CASP5
ALDH3A1 DDC
KCNN1 KCNK17
IL15 INSL3
SEMA3C YOD1
PDE12 USF2
FGF12 S100A9
AGGF1 ITGBL1
APPBP2 PDZD11
ERCC2 MAF
OR13C9 POU2F3
RAMP1 RGS11
ADORA3 CCL24
PRPS1 SHOX2
FOLR1 PICALM
KRT10 TRIM33
EDAR EVPL
ADAT3 NEFH
UTS2 CKMT2
ABCC9 KCNJ11
GBX2 NPBWR2
MTERF4 OR5K1
COMP PPP1CC
GLRA1 GRP
RICTOR IK
CCL2 ITGB1BP1
PTGER4 S1PR4
FGF9 IFNL4
MMP14 BMP1
FBXO6 OR51A7
TMEM147 LANCL2
OSCAR OR13A1
MRPL2 MIR199B
NPW OTUD4
KLLN CLEC12A
C7orf49 DSG4
TMEM107 RPP30
STIP1 MAP4K1
CCL5 STC1
PDGFRA PPARD
GRB2 TNFSF18
HPR GLI3
ADCYAP1 AVP
KIFC3 RABGGTA
GHSR GPR15
HNRNPUL1 TAF11
RS1 CHST2
MCRS1 FUBP1
ITGA5 ADGRB1
TMEM179B OR52K2
NPFFR2 TAS2R1
WIPI2 KRTAP19-1
CTSB MMP13
AKR1B1 ERRFI1
LDOC1 DEC1
BMP4 TP53BP2
NMB CCL16
ADH7 SOX6
PLK1 KIF15
AP2A1 PLA2G2E
SCNN1D ARL8A
CITED2 MED7
PPP1R15A BMP10
RRH CXCL8
HTATSF1 DISC1
DYNC1LI1 FOXE3
CHIT1 ZPR1
OTUD6A ACSL4
POLI TNFAIP6
JAK2 UBE2V2
ELF3 RS1
DEFA5 CLEC2B
HOXA1 MXD1
LAMA4 MUC2
ANXA4 NAIP
POLG2 BEX4
FEM1C IGSF6
CXCL2 PTAFR
CDK9 POLA1
CDK5 CHRM2
STXBP4 ZBTB33
ATP2A2 CAMK2N1
MS4A2 TSHB
KAT6B NRG1
CDKN3 KHDRBS1
PMPCA HGFAC
CDHR2 VWF
GJB1 PTHLH
ZEB1 CBFA2T2
MCUR1 VAT1
KCNJ10 CD93
NUDT3 AR
PRDM4 UBE2V2
THEG EHMT2
KAT2A TFCP2L1
TRIM29 NFE2L2
GPSM1 NQO1
WARS TP53I11
MAP3K10 HRK
TNFRSF9 PAWR
GABARAP AKAP5
GEMIN5 SLC7A6
ALOX15B MAP3K10
SGMS2 KLHL12
TIA1 IKBKG
TNFRSF9 TGFB2
ZDHHC21 NAT8L
CHST4 S1PR4
MGLL CXCL2
BRIP1 CIAO1
ATF7 GSPT1
ALDH1B1 PDE1A
ADH1A SCD5
CWC27 STK39
CHM OPN1LW
MIR181D PTRF
MCTS1 BRCA2
BRWD1 SLC24A5
CEBPE ARPC4
LIF RS1
TAB1 MOGAT3
PMP22 EEF1AKMT1
BORCS5 STARD9
CHRM3 EPS15
TOB1 IL1A
ANO4 GNPTAB
OSTM1 CCDC40
CMKLR1 FGF2
MIR361 TAS2R40
MUSK TP53
MEOX2 NELFA
LILRB3 FOXN1
VPS26B SETSIP
RTEL1 ALDH9A1
LRRC8D CCDC39
NR1H3 IZUMO1R
BUB3 CDC27
FRZB ARFGEF1
KLK13 ADAMTS9
MBP PARK2
EIF6 CD320
CDK9 SRR
CEBPA RUNX1T1
KRT35 OR6N1
MRPL10 HIST1H2AE
FRK SIRPG
AVPR2 TWISTNB
MCTS1 PIGN
UNC13B AQP1
ARMC4 LZTS1
PHLDA3 CNOT4
CYP3A4 STAU1
CNTF HRH1
ANAPC5 ACPP
WFIKKN2 CYB5B
RAPGEF1 NTRK3
FAT1 GJB1
UGGT1 GOLGA2
CRABP2 KRT9
NFASC DENND2A
GRIN2B KCNQ5
AIF1 QSOX1
KRT6C KIR3DS1
IMPG2 CNGB3
MUSK UTRN
EYA4 BMP5
ALDH1A1 PSMB5
ERCC1 POLL
HEXIM1 RFWD2
PPIA PDIA2
CGA FURIN
FOXA1 PKDREJ
MXD1 LEFTY2
PTPRF USH2A
PPP6R1 SEPT4
CNTFR NEUROD2
GUCA1B CCL4
MYBPC1 MTHFS
TSPAN32 CCL17
CCL26 IL1RAP
DDX47 KIF5C
FBL KCNA5
GPR75 LPAR4
KCND1 APOA4
OR13D1 FRK
CST7 IL27RA
NA RPL36
POLR2G CBFB
CNOT6 MRPS27
PCDHAC2 USH2A
PGLYRP4 DHX8
IGF1R DCAF7
CERS6 PROK2
NTSR1 CCL25
ADORA2B PAGE1
IGF1 MEF2C
TRHDE CGB7
MSI1 PCDHA4
LAMC1 SKAP2
TSC22D3 HOXD13
SERF1A ENC1
TRMT5 SAMHD1
PI4KA PI4KB
NR3C1 MAF
TWISTNB CHD8
IL12RB2 TDGF1
PRKD1 TNFSF9
ARVCF ACTN2
LRMP IFNA13
TSR3 TARS2
MTOR CHRNG
MLN SSTR2
DEFA1 RALA
IFI35 CYP26C1
KRTAP5-7 TUBB3
ASTL PANX1
RBBP7 USP8
KCTD7 IFNLR1
CSF3 RBBP7
KRTAP6-3 GAS2L3
AP3S1 HMSD
APPL1 PRL
CA2 IFITM2
NDUFA4 DNAJA1
SNX10 RTP2
NOD1 ADORA3
MICA RPTN
CYP11B2 REEP1
PRSS23 CACNA1S
APBA1 TAP2
HEXIM1 HEXIM2
SPATA18 CEACAM8
PLK3 STAT1
SLC1A4 ALKBH3
KCNJ4 IFIT2
GCG SST
TRAIP ACOT8
CORIN CHUK
CSF1R SUFU
FOSB ACRV1
ADORA3 TACR1
PPARGC1B NRIP1
OPRK1 RFX1
VTI1B CLK1
SMYD1 CCT6B
BAAT VIPR1
EMILIN1 ITGB3BP
GCNT2 GLI3
PCDHAC2 LGI1
HTR1B CTSO
MMAB HAUS4
GPR26 PPP1R13L
KRT10 FAM3D
SDCCAG3 PCM1
XKRY TFG
MMAA FAM73A
ZNRD1 PFDN6
AKR1B1 ECI1
PRELID1 ZMYM4
ARHGAP19 DEFB118
CSRP1 C8A
PAG1 CCL3
MUC15 TPM1
CEACAM5 DLST
WNT10B CENPA
CNNM4 SSUH2
NLGN3 CXCR2
STOML3 GALC
USP14 PAPOLA
ARIH2 LIF
KCNG2 KCNA3
OLFM1 ALK
GGT5 SLC7A7
CCL26 IL15
CNNM4 CCT6B
GPR39 S1PR4
E2F1 ZNF345
MYLIP PAFAH1B3
PGF ZYX
HTR6 BSN
PPARD USP8
EDA KRT6A
LANCL1 MLN
AKR1C1 DUOX2
PDE6G RHOA
GUCA1B SRD5A2
XIAP BRAF
CHRM5 RASGRP4
CCL23 SSTR1
MIR199B NPFFR2
LOXL2 PCDHB3
GSTM3 ACER1
AES IGF2
NR5A1 TFAP2C
GLI3 TNF
IL12RB2 NAP1L1
IL13 JAK2
TFCP2L1 EPHA3
EN2 BMP1
TGIF1 FZD6
PHLDA1 TRIM32
HTR2A DOC2A
BRCA1 TFAP2B
H2AFB1 HMSD
PRG4 FZD3
KRTAP4-9 MLKL
ART4 TUBB8
IFITM1 HDAC9
GABRD IGKV2D-30
NR6A1 TNFSF9
SIVA1 NAT2
POLR2D NKX3-2
FANCF NIF3L1
NR2E3 ITSN1
NTSR1 LGR5
TFCP2L1 TCF7
RNF138 CADM2
LRRC8B IGLV3-25
EXOC4 DRD1
FAF1 ADRB3
NINJ2 GRB14
GMPS GNPDA1
SNX27 OR4B1
RABEPK SFTPD
DES OR52K1
DLG4 GRM5
FASTKD2 WHSC1L1
RASA2 CDH9
APOC2 C3AR1
APC MAGI1
BTN3A1 TTPA
STAT6 BLZF1
GRK6 RGS5
BRINP1 G0S2
CHRM3 PCDHA11
MMP9 NR6A1
TSSK4 CLCNKB
HSPE1 PACSIN1
ADM AVP
VTN SEMA7A
LSM5 PPP4C
GML TM4SF4
ERGIC2 IGKV1D-12
MSTO1 ARL5B
LAMC1 SLC7A7
ENO1 KLF10
NA OR6C6
NSMCE1 PAIP1
IFITM2 OPRK1
KRTAP16-1 DET1
KCND2 HOMER1
SUGT1 MIR21
IL31RA VEGFC
TBC1D8 NRP1
RPL11 RPS11
IKZF1 TAS2R19
GABARAP SYN2
FRMPD2 DYNC1I1
LOX GPR26
LHX3 LYPD2
RELA SELE
CHRM4 MFAP4
CRIM1 SCN8A
SPHAR DDX11
DCTN1 PRKCQ
CXXC5 SLC44A2
LPCAT2 NOC2L
DLX5 CLN8
SCARA5 BNIPL
CTSK F2
GEMIN5 BCS1L
DLG4 HAP1
APEX1 ELOVL2
FGF11 TRH
NR4A2 CLEC2B
CCL23 TNFSF10
SALL4 LCN12
KCNJ10 KCNK5
GJB6 EML2
GCA CDK2AP2
SUGT1 JAK2
RBBP7 NELFA
STRN3 ATR
GGT5 GLS2
ADRA2A MAP2K1
CCL27 NCF4
LYPD3 CRYGC
GTF2H2 POLD1
NFIC POLR2G
COX11 CUTA
ALG6 LIPA
ENG POU1F1
USP17L6P SERINC5
FABP9 GLIPR2
SRD5A2 SEMA5A
CLCN5 CLCNKB
PROS1 CD59
MOGAT2 NKX6-3
CRYL1 MIR30C1
SLC5A11 TMEM126B
RNF19B MACF1
ADM PTS
GDF11 MEPE
IGFBP6 PTHLH
RANGRF LSG1
MRPL27 MAG
FGD4 RPL17
PPM1K IGLC6
RAB39B TMEM126A
SAG BSG
TRAPPC8 CCT6B
AKT1 GPR52
TRPM6 CDH6
RSPH4A SLC39A6
CDH17 CCR3
INHBA WAS
SDHC SCO2
GLI2 NFE2L1
OR5J2 OR2D3
ITGB1BP2 MUSK
WASF3 LIN7A
CHUK MAP4K2
CSNK1D BLM
SYNE1 FOXN3
LDOC1 SF3A1
CDKN2C ING4
SLC25A10 SLC7A1
TSSK2 PARP16
AVIL NDUFV2
SLC43A2 PXN
OR5B3 LIG3
HSPB8 AP1M2
CTNND2 MCAM
ADGRB3 OR52I2
CATSPERD NDP
CLPTM1 AFF3
COL1A1 TPTE
BMP1 TGIF1
P2RY2 P2RY6
KCNH4 MAP3K2
GABARAP SYT1
UST CCL14
GLRX3 TNFRSF6B
MARCH8 POGZ
NFKB1 TACR1
TKFC PCDH11X
ARHGDIB MBP
REEP3 TAS2R40
GCG GPR17
CDK5 IL5RA
TRIM3 NOC2L
PRRT2 PFDN2
CYP2C18 OR5P2
ZNF443 AHR
SUPT4H1 MED21
KLRA1P IFNAR2
CERCAM TPM3
FBLN5 SYT2
OR5H14 MIR101-2
ADAP1 UBE2Z
ADAM30 LACTB
GPR35 FFAR1
FAT1 FGF16
SUGT1 TIMMDC1
ATG7 OR2J1
MPL MAGI1
SNRNP200 HNRNPH3
HSF2BP POLR2E
KCNC1 MIR214
FGF8 LALBA
FKTN MSI1
HOXA9 PCOLCE
POLR2K RUNX3
EHF PPARD
NEUROD2 KLF7
LRMP LCMT1
OR2AP1 GPR132
DCD RBM38
TRAPPC11 ASXL1
TPRA1 KCNE1
PRMT2 ORM1
KRTAP1-4 RTN3
SARM1 MIR328
COQ3 ILF3
TMUB1 WFIKKN2
AP3S1 FAM109A
SEPHS1 GPR1
CCDC93 CHD2
TAAR9 CD3E
ASB17 CCR8
CHST12 CHKA
SLC17A5 LGALS3
EXOC7 GRM1
CAPNS1 SLC9A6
NFIL3 CXCR4
MCM7 PTMS
CHRM3 PHEX
E2F1 NANOG
DISC1 IFNLR1
TTBK2 IVNS1ABP
TCF19 UBE2V1
TMPRSS6 XPNPEP1
GMPPB TSPEAR
SSR1 EYA4
FABP2 SCTR
VHL WARS
MOGAT3 CMTR1
WIPF1 PICALM
ANXA11 CMTR1
AMDHD2 FDPS
ENOX2 NOX5
NR2C2 HIPK3
SAMM50 FASTKD2
RABGGTB GUCA1C
EDN3 TRHDE
TNFRSF11A CD81
KRT79 OR56A3
LCN2 ARFIP2
DAZL TRBV12-3
AIPL1 LUM
EPHB1 APLP1
CCL17 TFAP4
POFUT1 ETS1
KPNA5 CMPK2
FERMT2 SF3B2
CUL9 ADAT3
TIFAB PATJ
PAIP2B FBXL3
GADL1 PEG10
RASSF1 PCBP4
CSPG4 MRPL34
SARDH PRCC
F2R HLX
ALPPL2 SARAF
CST4 DNAJC4
TXNL4A HNRNPA3
GPR15 CCL23
COL5A3 SGCG
APC PCDHA11
CCR8 ATP2A2
GATA6 NFKB2
LSG1 TRIOBP
